category,family,count,paths
replay,skip_forward,4,ffb-resources/src/main/resources/icons/replay/skip_forward.gif | ffb-resources/src/main/resources/icons/replay/skip_forward_active.gif | ffb-resources/src/main/resources/icons/replay/skip_forward_disabled.png | ffb-resources/src/main/resources/icons/replay/skip_forward_selected.gif
scorebar,cheering_fans,6,ffb-resources/src/main/resources/icons/scorebar/cheering_fans_away_1.png | ffb-resources/src/main/resources/icons/scorebar/cheering_fans_away_2.png | ffb-resources/src/main/resources/icons/scorebar/cheering_fans_away_3.png | ffb-resources/src/main/resources/icons/scorebar/cheering_fans_home_1.png | ffb-resources/src/main/resources/icons/scorebar/cheering_fans_home_2.png | ffb-resources/src/main/resources/icons/scorebar/cheering_fans_home_3.png
scorebar,coach_banned,2,ffb-resources/src/main/resources/icons/scorebar/coach_banned_blue.png | ffb-resources/src/main/resources/icons/scorebar/coach_banned_red.png
sidebar,background_box_buttons,2,ffb-resources/src/main/resources/icons/sidebar/background_box_buttons_blue.png | ffb-resources/src/main/resources/icons/sidebar/background_box_buttons_red.png
sidebar,background_player_detail,2,ffb-resources/src/main/resources/icons/sidebar/background_player_detail_blue.png | ffb-resources/src/main/resources/icons/sidebar/background_player_detail_red.png
sidebar,background_resource,2,ffb-resources/src/main/resources/icons/sidebar/background_resource_blue.png | ffb-resources/src/main/resources/icons/sidebar/background_resource_red.png
sidebar,background_turn_dice_status,2,ffb-resources/src/main/resources/icons/sidebar/background_turn_dice_status_blue.png | ffb-resources/src/main/resources/icons/sidebar/background_turn_dice_status_red.png
sidebar,box_button,2,ffb-resources/src/main/resources/icons/sidebar/box_button.gif | ffb-resources/src/main/resources/icons/sidebar/box_button_selected.gif
sidebar,new_skool_black,5,ffb-resources/src/main/resources/icons/sidebar/dice/new_skool_black_1.png | ffb-resources/src/main/resources/icons/sidebar/dice/new_skool_black_2.png | ffb-resources/src/main/resources/icons/sidebar/dice/new_skool_black_3_4.png | ffb-resources/src/main/resources/icons/sidebar/dice/new_skool_black_5.png | ffb-resources/src/main/resources/icons/sidebar/dice/new_skool_black_6.png
sidebar,overlay_player_detail,2,ffb-resources/src/main/resources/icons/sidebar/overlay_player_detail_blue.png | ffb-resources/src/main/resources/icons/sidebar/overlay_player_detail_red.png
sidebar,turn_button,2,ffb-resources/src/main/resources/icons/sidebar/turn_button.png | ffb-resources/src/main/resources/icons/sidebar/turn_button_selected.png
